onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0	1	3	0	3	0.707	3	1	3_0.gif
1	1	1	0	1	0.541	1	1	1_0.gif
2	1	2	0	2	0.435	2	1	2_0.gif
3	1	3	0	3	0.37	3	1	3_0.gif
4	1	4	0	4	0.633	4	1	4_0.gif
5	1	2	0	2	0.508	2	1	2_0.gif
6	1	3	0	3	0.438	3	1	3_0.gif
7	1	4	0	4	0.573	4	1	4_0.gif
8	1	1	0	1	0.56	1	1	1_0.gif
9	1	2	0	2	0.395	2	1	2_0.gif
10	1	1	0	1	0.384	1	1	1_0.gif
11	1	2	0	2	0.315	2	1	2_0.gif
12	1	1	0	1	0.343	1	1	1_0.gif
13	1	3	0	3	0.345	3	1	3_0.gif
14	1	2	0	2	0.391	2	1	2_0.gif
15	1	4	0	4	0.471	4	1	4_0.gif
16.001	1	3	2	6	0	2	n/a	3_2.gif
17.001	1	2	2	6	0	4	n/a	2_2.gif
18.001	1	4	2	3	0.167	3	1	4_2.gif
19.001	1	1	2	2	0.162	2	1	1_2.gif
20.001	1	4	2	4	0.224	4	1	4_2.gif
21.001	1	1	2	1	0.226	1	1	1_2.gif
22.001	1	2	2	4	0.222	4	1	2_2.gif
23.001	1	3	2	1	0.187	1	1	3_2.gif
24.001	1	4	2	2	0.196	2	1	4_2.gif
25.001	1	1	2	6	0	3	n/a	1_2.gif
26.001	1	3	2	4	0.224	4	1	3_2.gif
27.001	1	2	2	1	0.255	1	1	2_2.gif
28.001	1	4	2	3	0.221	3	1	4_2.gif
29.001	1	1	2	2	0.128	2	1	1_2.gif
30.001	1	3	2	4	0.178	4	1	3_2.gif
31.001	1	4	2	1	0.155	1	1	4_2.gif
32.002	1	2	0	3	0.149	2	0	2_0.gif
33.002	1	1	0	1	0.33	1	1	1_0.gif
34.002	1	4	0	4	0.39	4	1	4_0.gif
35.002	1	3	0	3	0.396	3	1	3_0.gif
36.002	1	1	0	1	0.398	1	1	1_0.gif
37.002	1	3	0	3	0.393	3	1	3_0.gif
38.002	1	4	0	4	0.511	4	1	4_0.gif
39.002	1	3	0	3	0.417	3	1	3_0.gif
40.002	1	2	0	2	0.441	2	1	2_0.gif
41.002	1	3	0	3	0.408	3	1	3_0.gif
42.002	1	1	0	1	0.408	1	1	1_0.gif
43.002	1	2	0	2	0.437	2	1	2_0.gif
44.002	1	1	0	1	0.411	1	1	1_0.gif
45.002	1	3	0	3	0.49	3	1	3_0.gif
46.002	1	4	0	4	0.502	4	1	4_0.gif
47.002	1	3	0	3	0.402	3	1	3_0.gif
48.002	1	1	2	1	0.499	4	0	1_2.gif
49.002	1	2	2	6	0	3	n/a	2_2.gif
50.002	1	1	2	1	0.234	1	1	1_2.gif
51.002	1	4	2	2	0.212	2	1	4_2.gif
52.002	1	3	2	1	0.221	1	1	3_2.gif
53.002	1	2	2	4	0.117	4	1	2_2.gif
54.002	1	3	2	3	0.123	3	1	3_2.gif
55.002	1	1	2	2	0.079	2	1	1_2.gif
56.002	1	2	2	3	0.034	3	1	2_2.gif
57.002	1	4	2	1	0.008	1	1	4_2.gif
58.002	1	3	2	2	0.032	2	1	3_2.gif
59.002	1	2	2	4	0.042	4	1	2_2.gif
60.002	1	4	2	3	0.059	3	1	4_2.gif
61.002	1	1	2	2	0.141	2	1	1_2.gif
62.002	1	3	2	4	0.15	4	1	3_2.gif
63.002	1	2	2	1	0.146	1	1	2_2.gif
64.003	1	3	0	3	0.099	3	1	3_0.gif
65.003	1	2	0	2	0.353	2	1	2_0.gif
66.003	1	3	0	3	0.361	3	1	3_0.gif
67.003	1	1	0	1	0.381	1	1	1_0.gif
68.003	1	3	0	3	0.353	3	1	3_0.gif
69.003	1	4	0	4	0.48	4	1	4_0.gif
70.003	1	3	0	3	0.324	3	1	3_0.gif
71.003	1	1	0	1	0.401	1	1	1_0.gif
72.003	1	4	0	4	0.526	4	1	4_0.gif
73.003	1	2	0	2	0.398	2	1	2_0.gif
74.003	1	4	0	4	0.493	4	1	4_0.gif
75.003	1	2	0	2	0.364	2	1	2_0.gif
76.003	1	1	0	1	0.387	1	1	1_0.gif
77.003	1	3	0	3	0.283	3	1	3_0.gif
78.003	1	4	0	4	0.539	4	1	4_0.gif
79.003	1	2	0	2	0.436	2	1	2_0.gif
80.003	1	1	2	6	0	4	n/a	1_2.gif
81.003	1	2	2	6	0	2	n/a	2_2.gif
82.003	1	3	2	1	0.208	1	1	3_2.gif
83.003	1	1	2	2	0.224	2	1	1_2.gif
84.003	1	4	2	3	0.229	3	1	4_2.gif
85.003	1	1	2	1	0.2	1	1	1_2.gif
86.003	1	2	2	4	0.108	4	1	2_2.gif
87.003	1	3	2	1	0.15	1	1	3_2.gif
88.003	1	4	2	2	0.111	2	1	4_2.gif
89.003	1	1	2	3	0.191	3	1	1_2.gif
90.003	1	2	2	4	0.178	4	1	2_2.gif
91.003	1	3	2	1	0.178	1	1	3_2.gif
92.003	1	2	2	2	0.192	2	1	2_2.gif
93.003	1	3	2	3	0.192	3	1	3_2.gif
94.003	1	1	2	2	0.207	2	1	1_2.gif
95.003	1	2	2	1	0.208	3	0	2_2.gif
96.004	1	4	0	2	0.185	4	0	4_0.gif
97.004	1	2	0	2	0.396	2	1	2_0.gif
98.004	1	3	0	3	0.367	3	1	3_0.gif
99.004	1	2	0	2	0.334	2	1	2_0.gif
100.004	1	4	0	4	0.434	4	1	4_0.gif
101.004	1	2	0	2	0.328	2	1	2_0.gif
102.004	1	4	0	4	0.478	4	1	4_0.gif
103.004	1	1	0	1	0.394	1	1	1_0.gif
104.004	1	3	0	3	0.324	3	1	3_0.gif
105.004	1	1	0	1	0.363	1	1	1_0.gif
106.004	1	3	0	3	0.309	3	1	3_0.gif
107.004	1	4	0	4	0.476	4	1	4_0.gif
108.004	1	2	0	2	0.428	2	1	2_0.gif
109.004	1	1	0	1	0.484	1	1	1_0.gif
110.004	1	3	0	3	0.423	3	1	3_0.gif
111.004	1	4	0	4	0.415	4	1	4_0.gif
112.004	1	2	2	6	0	3	n/a	2_2.gif
113.005	1	4	2	6	0	4	n/a	4_2.gif
114.005	1	1	2	2	0.161	2	1	1_2.gif
115.005	1	4	2	4	0.082	4	1	4_2.gif
116.005	1	2	2	1	0.172	1	1	2_2.gif
117.005	1	4	2	4	0.168	4	1	4_2.gif
118.005	1	2	2	2	0.175	2	1	2_2.gif
119.005	1	1	2	4	0.218	4	1	1_2.gif
120.005	1	2	2	2	0.204	2	1	2_2.gif
121.005	1	4	2	1	0.211	1	1	4_2.gif
122.005	1	3	2	2	0.244	2	1	3_2.gif
123.005	1	4	2	4	0.194	4	1	4_2.gif
124.005	1	1	2	3	0.206	3	1	1_2.gif
125.005	1	2	2	4	0.176	4	1	2_2.gif
126.005	1	3	2	1	0.161	1	1	3_2.gif
127.005	1	1	2	6	0	2	n/a	1_2.gif
128.005	1	4	0	3	0.236	4	0	4_0.gif
129.005	1	2	0	2	0.373	2	1	2_0.gif
130.005	1	3	0	3	0.335	3	1	3_0.gif
131.005	1	1	0	1	0.333	1	1	1_0.gif
132.005	1	2	0	2	0.308	2	1	2_0.gif
133.005	1	3	0	3	0.343	3	1	3_0.gif
134.005	1	4	0	4	0.44	4	1	4_0.gif
135.005	1	3	0	3	0.42	3	1	3_0.gif
136.005	1	1	0	1	0.358	1	1	1_0.gif
137.005	1	4	0	4	0.386	4	1	4_0.gif
138.005	1	1	0	1	0.357	1	1	1_0.gif
139.005	1	4	0	4	0.4	4	1	4_0.gif
140.005	1	1	0	1	0.387	1	1	1_0.gif
141.005	1	4	0	4	0.37	4	1	4_0.gif
