onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0	1	4	0	4	0.936	4	1	4_0.gif
1	1	3	0	4	0.004	3	0	3_0.gif
2	1	1	0	1	0.556	1	1	1_0.gif
3	1	3	0	3	0.486	3	1	3_0.gif
4	1	2	0	2	0.388	2	1	2_0.gif
5	1	3	0	3	0.531	3	1	3_0.gif
6	1	1	0	1	0.514	1	1	1_0.gif
7.001	1	2	0	2	0.468	2	1	2_0.gif
8.001	1	3	0	3	0.542	3	1	3_0.gif
9.001	1	2	0	2	0.406	2	1	2_0.gif
10.001	1	3	0	3	0.45	3	1	3_0.gif
11.001	1	2	0	2	0.362	2	1	2_0.gif
12.001	1	4	0	4	0.573	4	1	4_0.gif
13.001	1	3	0	3	0.435	3	1	3_0.gif
14.001	1	1	0	1	0.496	1	1	1_0.gif
15.001	1	4	0	4	0.549	4	1	4_0.gif
16.001	1	2	2	6	0	1	n/a	2_2.gif
17.001	1	1	2	6	0	4	n/a	1_2.gif
18.001	1	2	2	2	0.569	2	1	2_2.gif
19.001	1	1	2	1	0.59	1	1	1_2.gif
20.001	1	2	2	2	0.506	2	1	2_2.gif
21.001	1	1	2	1	0.622	1	1	1_2.gif
22.001	1	3	2	2	0.606	2	1	3_2.gif
23.001	1	2	2	1	0.575	1	1	2_2.gif
24.001	1	3	2	3	0.246	3	1	3_2.gif
25.001	1	2	2	2	0.139	2	1	2_2.gif
26.001	1	1	2	3	0.157	3	1	1_2.gif
27.001	1	2	2	2	0.136	2	1	2_2.gif
28.001	1	3	2	1	0.232	1	1	3_2.gif
29.001	1	1	2	2	0.216	2	1	1_2.gif
30.001	1	2	2	3	0.302	3	1	2_2.gif
31.001	1	4	2	1	0.364	1	1	4_2.gif
32.001	1	2	0	2	0.367	2	1	2_0.gif
33.001	1	4	0	2	0.433	4	0	4_0.gif
34.001	1	1	0	4	0.036	1	0	1_0.gif
35.001	1	3	0	3	0.531	3	1	3_0.gif
36.001	1	4	0	4	0.502	4	1	4_0.gif
37.001	1	2	0	2	0.323	2	1	2_0.gif
38.001	1	3	0	3	0.466	3	1	3_0.gif
39.001	1	2	0	2	0.381	2	1	2_0.gif
40.001	1	4	0	4	0.416	4	1	4_0.gif
41.001	1	1	0	1	0.445	1	1	1_0.gif
42.001	1	2	0	2	0.39	2	1	2_0.gif
43.001	1	3	0	3	0.457	3	1	3_0.gif
44.001	1	2	0	2	0.435	2	1	2_0.gif
45.001	1	1	0	1	0.412	1	1	1_0.gif
46.001	1	4	0	4	0.789	4	1	4_0.gif
47.001	1	3	0	3	0.527	3	1	3_0.gif
48.001	1	4	2	6	0	4	n/a	4_2.gif
49.001	1	2	2	6	0	3	n/a	2_2.gif
50.001	1	3	2	4	0.66	4	1	3_2.gif
51.001	1	1	2	2	0.352	2	1	1_2.gif
52.001	1	4	2	3	0.37	3	1	4_2.gif
53.001	1	2	2	1	0.691	1	1	2_2.gif
54.001	1	1	2	4	0.579	4	1	1_2.gif
55.001	1	2	2	2	0.365	2	1	2_2.gif
56.001	1	1	2	1	0.35	1	1	1_2.gif
57.001	1	3	2	2	0.335	2	1	3_2.gif
58.001	1	4	2	1	0.45	1	1	4_2.gif
59.001	1	3	2	3	0.288	3	1	3_2.gif
60.001	1	4	2	4	0.224	4	1	4_2.gif
61.001	1	2	2	3	0.263	3	1	2_2.gif
62.001	1	4	2	4	0.355	4	1	4_2.gif
63.001	1	1	2	2	0.274	2	1	1_2.gif
64.001	1	2	0	4	0.349	2	0	2_0.gif
65.001	1	3	0	2	0.008	3	0	3_0.gif
66.001	1	1	0	3	0.004	1	0	1_0.gif
67.001	1	2	0	1	0.006	2	0	2_0.gif
68.001	1	1	0	1	0.695	1	1	1_0.gif
69.001	1	2	0	2	0.582	2	1	2_0.gif
70.001	1	4	0	4	0.44	4	1	4_0.gif
71.001	1	1	0	1	0.464	1	1	1_0.gif
72.001	1	3	0	3	0.507	3	1	3_0.gif
73.001	1	2	0	2	0.435	2	1	2_0.gif
74.001	1	4	0	4	0.537	4	1	4_0.gif
75.001	1	2	0	2	0.451	2	1	2_0.gif
76.001	1	3	0	3	0.385	3	1	3_0.gif
77.001	1	2	0	2	0.296	2	1	2_0.gif
78.001	1	1	0	1	0.58	1	1	1_0.gif
79.001	1	2	0	2	0.397	2	1	2_0.gif
80.002	1	3	2	6	0	1	n/a	3_2.gif
81.002	1	2	2	6	0	2	n/a	2_2.gif
82.002	1	4	2	3	0.4	3	1	4_2.gif
83.002	1	2	2	2	0.308	2	1	2_2.gif
84.002	1	4	2	4	0.334	4	1	4_2.gif
85.002	1	2	2	2	0.304	2	1	2_2.gif
86.002	1	1	2	4	0.354	4	1	1_2.gif
87.002	1	2	2	2	0.294	2	1	2_2.gif
88.002	1	1	2	1	0.282	1	1	1_2.gif
89.002	1	3	2	2	0.267	2	1	3_2.gif
90.002	1	4	2	1	0.229	1	1	4_2.gif
91.002	1	3	2	3	0.241	3	1	3_2.gif
92.002	1	1	2	4	0.271	4	1	1_2.gif
93.002	1	4	2	3	0.237	3	1	4_2.gif
